Year,State,score
2018,Alabama,-27.0
2018,Alaska,-15.0
2018,Arizona,-9.0
2018,Arkansas,-24.0
2018,California,24.0
2018,Colorado,1.0
2018,Connecticut,11.0
2018,Delaware,14.0
2018,District of Col.,68.0
2018,Florida,-5.0
2018,Georgia,-12.0
2018,Hawaii,36.0
2018,Idaho,-35.0
2018,Illinois,13.0
2018,Indiana,-18.0
2018,Iowa,-6.0
2018,Kansas,-23.0
2018,Kentucky,-23.0
2018,Louisiana,-17.0
2018,Maine,5.0
2018,Maryland,23.0
2018,Massachusetts,29.0
2018,Michigan,1.0
2018,Minnesota,2.0
2018,Mississippi,-15.0
2018,Missouri,-19.0
2018,Montana,-18.0
2018,Nebraska,-24.0
2018,Nevada,-1.0
2018,New Hampshire,-2.0
2018,New Jersey,13.0
2018,New Mexico,7.0
2018,New York,22.0
2018,North Carolina,-5.0
2018,North Dakota,-33.0
2018,Ohio,-7.0
2018,Oklahoma,-34.0
2018,Oregon,9.0
2018,Pennsylvania,-1.0
2018,Rhode Island,26.0
2018,South Carolina,-17.0
2018,South Dakota,-31.0
2018,Tennessee,-28.0
2018,Texas,-17.0
2018,Utah,-31.0
2018,Vermont,24.0
2018,Virginia,0.0
2018,Washington,12.0
2018,West Virginia,-30.0
2018,Wisconsin,-1.0
2018,Wyoming,-47.0
2020,Alabama,-27.0
2020,Alaska,-16.0
2020,Arizona,-8.0
2020,Arkansas,-26.0
2020,California,22.0
2020,Colorado,0.0
2020,Connecticut,10.0
2020,Delaware,12.0
2020,District of Col.,68.0
2020,Florida,-6.0
2020,Georgia,-13.0
2020,Hawaii,36.0
2020,Idaho,-33.0
2020,Illinois,13.0
2020,Indiana,-17.0
2020,Iowa,-9.0
2020,Kansas,-21.0
2020,Kentucky,-24.0
2020,Louisiana,-19.0
2020,Maine,3.0
2020,Maryland,23.0
2020,Massachusetts,23.0
2020,Michigan,6.0
2020,Minnesota,1.0
2020,Mississippi,-15.0
2020,Missouri,-21.0
2020,Montana,-18.0
2020,Nebraska,-25.0
2020,Nevada,-1.0
2020,New Hampshire,-1.0
2020,New Jersey,11.0
2020,New Mexico,8.0
2020,New York,22.0
2020,North Carolina,-4.0
2020,North Dakota,-34.0
2020,Ohio,-6.0
2020,Oklahoma,-33.0
2020,Oregon,7.0
2020,Pennsylvania,-1.0
2020,Rhode Island,24.0
2020,South Carolina,-16.0
2020,South Dakota,-28.0
2020,Tennessee,-28.0
2020,Texas,-17.0
2020,Utah,-30.0
2020,Vermont,24.0
2020,Virginia,7.0
2020,Washington,15.0
2020,West Virginia,-33.0
2020,Wisconsin,-3.0
2020,Wyoming,-45.0
2019,Alabama,-27.0
2019,Alaska,-15.5
2019,Arizona,-8.5
2019,Arkansas,-25.0
2019,California,23.0
2019,Colorado,0.5
2019,Connecticut,10.5
2019,Delaware,13.0
2019,District of Col.,68.0
2019,Florida,-5.5
2019,Georgia,-12.5
2019,Hawaii,36.0
2019,Idaho,-34.0
2019,Illinois,13.0
2019,Indiana,-17.5
2019,Iowa,-7.5
2019,Kansas,-22.0
2019,Kentucky,-23.5
2019,Louisiana,-18.0
2019,Maine,4.0
2019,Maryland,23.0
2019,Massachusetts,26.0
2019,Michigan,3.5
2019,Minnesota,1.5
2019,Mississippi,-15.0
2019,Missouri,-20.0
2019,Montana,-18.0
2019,Nebraska,-24.5
2019,Nevada,-1.0
2019,New Hampshire,-1.5
2019,New Jersey,12.0
2019,New Mexico,7.5
2019,New York,22.0
2019,North Carolina,-4.5
2019,North Dakota,-33.5
2019,Ohio,-6.5
2019,Oklahoma,-33.5
2019,Oregon,8.0
2019,Pennsylvania,-1.0
2019,Rhode Island,25.0
2019,South Carolina,-16.5
2019,South Dakota,-29.5
2019,Tennessee,-28.0
2019,Texas,-17.0
2019,Utah,-30.5
2019,Vermont,24.0
2019,Virginia,3.5
2019,Washington,13.5
2019,West Virginia,-31.5
2019,Wisconsin,-2.0
2019,Wyoming,-46.0
2021,Alabama,-28.089869999999998
2021,Alaska,-15.30555
2021,Arizona,-7.5856545
2021,Arkansas,-28.750880000000002
2021,California,23.872635000000002
2021,Colorado,3.375117
2021,Connecticut,11.07296
2021,Delaware,12.961585
2021,District of Col.,68.16179
2021,Florida,-6.6984390000000005
2021,Georgia,-10.1787745
2021,Hawaii,33.906205
2021,Idaho,-34.895255
2021,Illinois,13.104595
2021,Indiana,-18.62817
2021,Iowa,-9.3056385
2021,Kansas,-21.03681
2021,Kentucky,-25.594355
2021,Louisiana,-19.698410000000003
2021,Maine,3.6899155
2021,Maryland,24.63195
2021,Massachusetts,27.838615
2021,Michigan,2.412013
2021,Minnesota,1.4976305
2021,Mississippi,-17.39133
2021,Missouri,-20.990090000000002
2021,Montana,-18.953325
2021,Nebraska,-24.875484999999998
2021,Nevada,-1.795025
2021,New Hampshire,-0.21681584999999998
2021,New Jersey,11.173110000000001
2021,New Mexico,7.5750715
2021,New York,20.951095000000002
2021,North Carolina,-4.407753
2021,North Dakota,-35.534890000000004
2021,Ohio,-9.05322
2021,Oklahoma,-34.934275
2021,Oregon,8.80227
2021,Pennsylvania,-1.98388
2021,Rhode Island,23.833755
2021,South Carolina,-17.132984999999998
2021,South Dakota,-30.0016
2021,Tennessee,-28.6025
2021,Texas,-14.95139
2021,Utah,-28.141615
2021,Vermont,25.889865
2021,Virginia,5.3008065
2021,Washington,13.719195
2021,West Virginia,-34.288785000000004
2021,Wisconsin,-3.419988
2021,Wyoming,-47.433255
